unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
226,texture,frilly,0.074427216591197512,pink-c,18799488.0,2979870.0,686380.0,0.032540687237240754,person,14745720.0,1232784.0,282281.0,0.017984007999886344,head,5034747.0,706295.0,123458.0,0.0219770634493405,food,1124121.0,498283.0,20547.0,0.012826987677426887,florist_shop-indoor-s,229842.0,447388.0,9509.0,0.014240977893461489,frilly,1647201.0,1029050.0,185388.0,0.074427216591197512
137,part,wheel,0.07283227392294446,grey-c,161925849.0,2864790.0,785245.0,0.0047879217923771462,bicycle,1169902.0,2053488.0,190540.0,0.062825395255287936,wheel,1540612.0,1520687.0,207825.0,0.07283227392294446,carpet,4479475.0,332231.0,21897.0,0.0045715810379912854,office-s,1570587.0,408633.0,15380.0,0.0078315952419749056,cobwebbed,1532280.0,266434.0,28954.0,0.016360410451134618
25,texture,paisley,0.072690327581648978,purple-c,11026903.0,2774998.0,148320.0,0.010863084197471711,flower,600618.0,1232556.0,67411.0,0.038176697552276269,pot,428835.0,406506.0,7057.0,0.0085200245326482217,food,1124121.0,394836.0,16502.0,0.010983357238652739,florist_shop-indoor-s,229842.0,643841.0,21645.0,0.025403796544285581,paisley,1583356.0,810685.0,162231.0,0.072690327581648978
125,part,hair,0.071579769194301798,pink-c,18799488.0,2941683.0,235428.0,0.010947215355451798,person,14745720.0,1470926.0,923133.0,0.06036108250602723,hair,1180528.0,1405314.0,172730.0,0.071579769194301798,fabric,8692975.0,875376.0,59946.0,0.0063045274154813558,witness_stand-s,140459.0,191867.0,10486.0,0.03258140691026596,,25372003.0,54178.0,50022.0,0.0019712203095827072
132,object,motorbike,0.070638849410171928,black-c,142117568.0,2679964.0,751903.0,0.0052198945932611391,motorbike,1463055.0,1874137.0,220182.0,0.070638849410171928,wheel,1540612.0,1487704.0,144155.0,0.049981606435979126,fur,105151.0,424114.0,3548.0,0.0067488781987266894,batters_box-s,127690.0,333353.0,5029.0,0.01102817018775739,lacelike,1557818.0,125794.0,7240.0,0.0043188504699434253
163,part,clouds,0.070431383136133049,blue-c,62464739.0,3027370.0,2020229.0,0.031828724783321369,sky,37221493.0,2891622.0,2411181.0,0.06395377489122972,clouds,118939.0,293419.0,27132.0,0.070431383136133049,glass,2287279.0,42672.0,1562.0,0.00067085010279639701,lighthouse-s,600143.0,1696739.0,52490.0,0.02338718013609031,,25372003.0,214794.0,208954.0,0.008233717893203138
101,part,ear,0.070249522524344701,white-c,73689572.0,2711273.0,373747.0,0.0049159708818558353,cat,4228548.0,1941106.0,233391.0,0.03931614889704179,ear,797925.0,1281603.0,136497.0,0.070249522524344701,fabric,8692975.0,400451.0,41612.0,0.0045970895999409619,oast_house-s,153228.0,463999.0,11625.0,0.019195775443277923,crosshatched,1774891.0,154646.0,10739.0,0.005596732954693511
181,part,muzzle,0.069497239552106196,blue-c,62464739.0,2749427.0,366493.0,0.0056515983233507852,dog,3854036.0,1857624.0,346127.0,0.064509341383232569,muzzle,678509.0,1445997.0,138053.0,0.069497239552106196,food,1124121.0,390959.0,10414.0,0.006921137315523844,water_tower-s,280918.0,372453.0,6956.0,0.010760888902639943,spiralled,1634432.0,205765.0,27379.0,0.01510300537616021
164,texture,studded,0.069431768218448361,orange-c,30864899.0,2971789.0,212652.0,0.0063244043635927588,dog,3854036.0,960042.0,243125.0,0.053189127081376686,muzzle,678509.0,569468.0,56068.0,0.047040503931088697,food,1124121.0,578561.0,27377.0,0.016341501995159092,liquor_store-indoor-s,127690.0,328477.0,9113.0,0.020384562043958891,studded,1621663.0,1073335.0,174970.0,0.069431768218448361
220,texture,perforated,0.067956947485830754,orange-c,30864899.0,3637872.0,216669.0,0.0063194410376542663,file cabinet,108395.0,322631.0,3107.0,0.0072607199025983872,balcony,323043.0,82572.0,2482.0,0.0061567770438044006,food,1124121.0,112752.0,5003.0,0.0040613051701884131,anechoic_chamber-s,140459.0,200921.0,6891.0,0.02060157434175712,perforated,1825967.0,3046609.0,310055.0,0.067956947485830754
216,texture,knitted,0.067737736077871355,purple-c,11026903.0,2989120.0,240966.0,0.017492922170848368,sheep,824399.0,1178090.0,98372.0,0.051662791729709889,torso,7789829.0,378051.0,130531.0,0.016240553943843921,food,1124121.0,212608.0,25743.0,0.019636365300621059,hut-s,140459.0,450019.0,14249.0,0.024728016118591736,knitted,1889812.0,1561552.0,218956.0,0.067737736077871355
148,object,bird,0.066985373358850422,yellow-c,34739742.0,2834088.0,391435.0,0.01052742837033494,bird,1046893.0,1444138.0,156387.0,0.066985373358850422,torso,7789829.0,1047407.0,276446.0,0.032292113227867986,food,1124121.0,871756.0,109051.0,0.057796002387077557,ball_pit-s,280918.0,266263.0,3909.0,0.0071952907567479994,freckled,1583356.0,306313.0,44559.0,0.024149779687931885
117,object,car,0.066753876645859037,black-c,142117568.0,2770869.0,997043.0,0.0069291357341357048,car,5435238.0,2124148.0,473041.0,0.066753876645859037,wheel,1540612.0,1602792.0,179865.0,0.060692638092496844,leather,479449.0,316294.0,4841.0,0.0061208594743722977,auto_showroom-s,306456.0,536738.0,12729.0,0.015327557452752372,spiralled,1634432.0,115353.0,8020.0,0.0046045247206138598
33,object,pool table,0.066150192821184853,blue-c,62464739.0,3041522.0,949769.0,0.014712215155681012,pool table,443452.0,2046078.0,154465.0,0.066150192821184853,screen,689450.0,884413.0,36903.0,0.024010384134915679,plastic-opaque,587694.0,447825.0,6419.0,0.0062374890681177724,poolroom-home-s,1340745.0,945163.0,125311.0,0.057998321760143148,swirly,1634432.0,510244.0,36262.0,0.017198709551349972
104,object,grass,0.064851361028933213,green-c,64303167.0,2860610.0,753347.0,0.011343805483566361,grass,13100838.0,2388508.0,943329.0,0.064851361028933213,wheel,1540612.0,1110073.0,40090.0,0.01535665241065734,foliage,30896.0,162212.0,3952.0,0.020892808052612649,ranch-s,153228.0,450710.0,16706.0,0.028448722140482802,porous,1889812.0,348026.0,43788.0,0.019957612634169685
124,object,grass,0.063904593247097546,green-c,64303167.0,2833793.0,1658305.0,0.025325886733623345,grass,13100838.0,2081188.0,911925.0,0.063904593247097546,base,73996.0,581324.0,3274.0,0.0050211181419715775,cardboard,117011.0,201632.0,1831.0,0.0057794527985051049,stadium-baseball-s,153228.0,881245.0,39591.0,0.039794669116538436,cobwebbed,1532280.0,617177.0,95642.0,0.046567972285721938
56,texture,freckled,0.063888419531212673,orange-c,30864899.0,3063066.0,159017.0,0.004708971093798954,washer,215226.0,1584448.0,52993.0,0.030339254849626233,head,5034747.0,856333.0,214274.0,0.037745520984863674,ceramic,691094.0,420930.0,9178.0,0.0083221048088309695,laundromat-s,370301.0,553566.0,30085.0,0.033660333280374849,freckled,1583356.0,576296.0,129691.0,0.063888419531212673
217,part,screen,0.063863634120540386,black-c,142117568.0,2797146.0,1356818.0,0.0094513644864229543,bus,1654056.0,1135211.0,105526.0,0.039320485844200316,screen,689450.0,496259.0,71178.0,0.063863634120540386,glass,2287279.0,307570.0,32042.0,0.012502697237833361,bow_window-outdoor-s,293687.0,374317.0,8214.0,0.012449415723184648,polka-dotted,1736584.0,1033010.0,127170.0,0.048126265883143657
103,object,dog,0.062246586385472161,white-c,73689572.0,2739878.0,374803.0,0.0049280749406410366,dog,3854036.0,1785702.0,330483.0,0.062246586385472161,muzzle,678509.0,1453677.0,82702.0,0.040352596068083481,metal,3523669.0,541619.0,29522.0,0.0073150921039525085,podium-indoor-s,153228.0,250260.0,5161.0,0.012956691361619971,interlaced,1659970.0,155502.0,14650.0,0.0081351738261749365
